무게_kg,3구역_USD,4구역_USD,5구역_USD,7구역_USD,8구역_USD,9구역_USD
17.9,51.6928,66.1072,87.8861,127.0395,147.274,147.274
18.0,51.6928,66.1072,87.8861,127.0395,147.274,147.274
18.1,51.6928,66.1072,87.8861,127.0395,147.274,147.274
18.2,52.608,66.8508,88.6869,129.8709,149.6764,149.6764
18.3,52.608,66.8508,88.6869,129.8709,149.6764,149.6764
18.4,52.608,66.8508,88.6869,129.8709,149.6764,149.6764
18.5,52.608,66.8508,88.6869,129.8709,149.6764,149.6764
18.6,53.037,67.4657,90.2456,131.7156,151.6212,151.6212
18.7,53.037,67.4657,90.2456,131.7156,151.6212,151.6212
18.8,53.037,67.4657,90.2456,131.7156,151.6212,151.6212
18.9,53.037,67.4657,90.2456,131.7156,151.6212,151.6212
19.0,53.037,67.4657,90.2456,131.7156,151.6212,151.6212
19.1,53.4517,68.0949,91.79,133.4173,153.28,153.28
19.2,53.4517,68.0949,91.79,133.4173,153.28,153.28
19.3,53.4517,68.0949,91.79,133.4173,153.28,153.28
19.4,53.4517,68.0949,91.79,133.4173,153.28,153.28
19.5,53.4517,68.0949,91.79,133.4173,153.28,153.28
19.6,53.8521,68.7098,93.3201,135.0761,155.5251,155.5251
19.7,53.8521,68.7098,93.3201,135.0761,155.5251,155.5251
19.8,53.8521,68.7098,93.3201,135.0761,155.5251,155.5251
19.9,53.8521,68.7098,93.3201,135.0761,155.5251,155.5251
20.0,54.2668,69.3533,94.8788,136.5919,157.4842,157.4842
20.1,54.2668,69.3533,94.8788,136.5919,157.4842,157.4842
20.2,54.2668,69.3533,94.8788,136.5919,157.4842,157.4842
20.3,54.2668,69.3533,94.8788,136.5919,157.4842,157.4842
20.4,54.2668,69.3533,94.8788,136.5919,157.4842,157.4842
20.5,54.6815,69.9825,96.4232,138.122,159.3575,159.3575
20.6,54.6815,69.9825,96.4232,138.122,159.3575,159.3575
20.7,54.6815,69.9825,96.4232,138.122,159.3575,159.3575
20.8,54.6815,69.9825,96.4232,138.122,159.3575,159.3575
20.9,55.0962,70.5974,97.9676,139.7665,161.3023,161.3023
21.0,55.0962,70.5974,97.9676,139.7665,161.3023,161.3023
21.1,55.0962,70.5974,97.9676,139.7665,161.3023,161.3023
21.2,55.0962,70.5974,97.9676,139.7665,161.3023,161.3023
21.3,55.0962,70.5974,97.9676,139.7665,161.3023,161.3023
21.4,55.5109,71.2266,99.4977,141.1536,162.9611,162.9611
21.5,55.5109,71.2266,99.4977,141.1536,162.9611,162.9611
21.6,55.5109,71.2266,99.4977,141.1536,162.9611,162.9611
21.7,55.5109,71.2266,99.4977,141.1536,162.9611,162.9611
21.8,55.897,71.8558,101.0564,142.6837,164.6056,164.6056
21.9,55.897,71.8558,101.0564,142.6837,164.6056,164.6056
22.0,55.897,71.8558,101.0564,142.6837,164.6056,164.6056
22.1,55.897,71.8558,101.0564,142.6837,164.6056,164.6056
22.2,55.897,71.8558,101.0564,142.6837,164.6056,164.6056
22.3,56.3117,72.4993,102.6151,144.5713,166.4074,166.4074
22.4,56.3117,72.4993,102.6151,144.5713,166.4074,166.4074
22.5,56.3117,72.4993,102.6151,144.5713,166.4074,166.4074
22.6,56.3117,72.4993,102.6151,144.5713,166.4074,166.4074
22.7,56.7264,73.0713,104.4169,146.7163,168.0662,168.0662
22.8,56.7264,73.0713,104.4169,146.7163,168.0662,168.0662
22.9,56.7264,73.0713,104.4169,146.7163,168.0662,168.0662
23.0,56.7264,73.0713,104.4169,146.7163,168.0662,168.0662
23.1,56.7264,73.0713,104.4169,146.7163,168.0662,168.0662
