브랜드명,발송여부
Phiten 日本法力藤,금지
Digicom,금지
JEAN PAUL GAULTIER,금지
Ports,금지
Pierre Senizergues/Etnies,금지
Jinro,금지
RAY.BAN,금지
Prints,금지
Jo Malone,금지
Samsonite,금지
ROXY,금지
Pioneer,금지
SHTEX,금지
SECCO,금지
Procom,금지
SLY(日本时装品牌),금지
SIXTY,금지
Salvatore Ferragamo,금지
SuzukI   日本铃木,금지
Smashbox,금지
SEGA,금지
Teva,금지
Swatch,금지
SKF 瑞士轴承品牌,금지
Tommy Hilfiger,금지
Timberland,금지
supra,금지
ULTRA,금지
TOUS,금지
Swiss Nature,금지
Union,금지
UMBRO  体育品牌,금지
TOD's,금지
VERSUS,금지
Van Cleef,금지
U-boat,금지
Warner  时代华纳,금지
Viacom,금지
Unilever,금지
Yves Saint Laurent,금지
Wizards of the Coast,금지
Vans,금지
Zolo,금지
YVES SAINT LAURENT(YSL),금지
Vivienne Westwood,금지
Zippo,금지
X-LARGE   美国时尚品牌,금지
