방법,청구기한,대상,절차,비고
인터넷 행방조회,수시 조회 가능,"EMS, 국제소포, 등기 등 추적 가능 우편물",ems.epost.go.kr 접속 → 운송장 13자리 입력 → 조회,미국·일본 등 주요국 59개국 실시간 배달조회 가능
인터넷 행방조사청구,EMS: 발송일 이후 4개월 이내 / 국제소포·등기: 접수 다음날부터 6개월 이내,배달 미확인 우편물,ems.epost.go.kr → 행방조사청구 메뉴 → 온라인 신청,배달보장서비스(Guarantee): 접수 후 30일 이내 청구
서면 행방조사,EMS: 발송일 이후 4개월 이내 / 국제소포·등기: 접수 다음날부터 6개월 이내,배달 미확인 우편물,가까운 우체국 방문 → 행방조사 청구서 작성 및 제출,접수한 우체국 방문 권장. 접수증 지참
EMS 프리미엄 조사청구,수령일로부터 14일 이내 파손조사 / 행방조사는 접수 후 3개월 이내,EMS 프리미엄 우편물,FedEx 고객센터(02-3700-5199) → 파손조사 신청 → FedEx 조사팀 조사 → 결과 이메일 통보 → 배상액 지급,
