"지역","국가목록","비고"
"1지역","캄보디아, 라오스, 마카오(중국), 몽골, 미얀마","특별운송수수료 낮은 편"
"2지역","방글라데시, 부탄, 브루나이, 인도, 몰디브, 네팔, 스리랑카",""
"3지역","알바니아, 아르메니아, 오스트리아, 아제르바이잔, 바레인, 벨라루스, 벨기에, 불가리아, 보스니아헤르체고비나, 크로아티아, 사이프러스, 체코, 덴마크, 에스토니아, 핀란드, 조지아, 그리스, 헝가리, 이란, 아일랜드, 이스라엘, 요르단, 카자흐스탄, 라트비아, 룩셈부르크, 마케도니아, 네덜란드, 노르웨이, 오만, 파키스탄, 폴란드, 포르투갈, 카타르, 루마니아, 사우디아라비아, 슬로바키아, 슬로베니아, 스웨덴, 스위스, 터키, 우크라이나, 아랍에미리트, 우즈베키스탄, 몬테네그로, 몰타, 아이슬란드 포함",""
"4지역","알제리 외 아프리카·카리브·중남미 다수 국가 (감비아, 과테말라, 기니, 나미비아, 니카라과, 도미니카공화국, 라이베리아, 마다가스카르, 말라위, 말리, 모리타니, 모잠비크, 베네수엘라, 보츠와나, 볼리비아, 부룬디, 부르키나파소, 엘살바도르, 온두라스, 우간다, 우루과이, 자메이카, 차드, 카메룬, 카보베르데, 코트디부아르, 쿠바, 토고, 트리니다드토바고, 파라과이 등)","특별운송수수료 높은 편"
"주요 20개국","미국, 일본, 중국, 프랑스, 독일, 호주, 영국, 캐나다, 이탈리아, 스페인, 홍콩, 대만, 싱가포르, 베트남, 태국, 인도네시아, 필리핀, 말레이시아, 러시아, 뉴질랜드","별도 요금 적용. 실시간 배달 추적 가능 주요국"
